開放漢世詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界語］
松鼠	song1 shu3	sciuro (mambesto)
松樹	song1 shu4	(pla-sci) pino; pinarbo (latine, Pinus)
宋	song4	la Song-dinastio; Dinastio Song
宋朝	song4 chao2	Song-dinastio; Dinastio Song; 960-1279 KE
蘇	su1	Ĝjangsuo; mallongiga formo de Ĝjangsuo
蘇德互不侵犯條約	su1 de2  hu4 bu4 qin1 fan4  tiao2 yue1	la Pakto Ribbentrop-Molotov; (1939 KE)
速度	su4 du4	rapideco
塑膠	su4 jiao1	plasto
宿醉	su4 zui4	postebrio; postdrinka kapdoloro
酸	suan1	acida
酸果樹	suan1 guo3 shu4	(pla-sci) tamarindarbo; (latine, Tamarindus indica)
酸味	suan1 wei4	acida gusto
雖然	sui1 ran2	kvankam
隋	sui2	la Suej-dinastio; Dinastio Suej
隋朝	sui2 chao2	Suej-dinastio; Dinastio Suej; 581-618 KE
隨身聽	sui2 shen1 ting1	poŝkasedilo; poŝdiskilo
隨時	sui2 shi2	ĉiumomente
髓	sui3	(anat) osta medolo
隼	sun3	falko (birdo)
縮寫	suo1 xie3	mallongigo
鎖骨	suo3 gu3	(anat) klaviklo
鎖頭	suo3 tou5	ŝloso
所謂	suo3 wei4	laŭdire
所以	suo3 yi3	do; tial; pro tio
索引	suo3 yin3	indekso
所有格	suo3 you3 ge2	posedo; poseda kazo (gramatiko)
所有格代名詞	suo3 you3 ge2  dai4 ming2 ci2	poseda pronomo (gramatiko)
他	ta1	li
她	ta1	ŝin
它	ta1	ĝin
鉈	ta1	(kem) talio; la elemento talio (Tl), atomnumero 81
他	ta1	lin
它	ta1	ĝi
她	ta1	ŝi
他自己的	ta1  zi4 ji3 de5	lia propra
它自己的	ta1  zi4 ji3 de5	ĝia propra
她自己的	ta1  zi4 ji3 de5	ŝia propra
它的	ta1 de5	ĝia
她的	ta1 de5	ŝia
他的	ta1 de5	lia
他們	ta1 men5	ili (vira vorto)
他們	ta1 men5	ilin (vira vorto)
它們	ta1 men5	ilin (neŭtra vorto)
她們	ta1 men5	ilin (ina vorto)
她們	ta1 men5	ili (ina vorto)
它們	ta1 men5	ili (neŭtra vorto)
他們自己的	ta1 men5  zi4 ji3 de5	ilia propra (vira vorto)
她們自己的	ta1 men5  zi4 ji3 de5	ilia propra (ina vorto)
它們自己的	ta1 men5  zi4 ji3 de5	ilia propra (neŭtra vorto)
他們的	ta1 men5 de5	ilia (vira vorto)
它們的	ta1 men5 de5	ilia (neŭtra vorto)
她們的	ta1 men5 de5	ilia (ina vorto)
他們自己	ta1 men5 zi4 ji3	ili mem
他自己	ta1 zi4 ji3	li mem
獺	ta3	lutro (mambesto)
胎	tai1	(anat) feto
胎兒	tai1 er2	(anat) feto
胎盤	tai1 pan2	(anat) placento
台	tai2	Tajvano; mallongiga formo de Tajvano
苔	tai2	(pla-sci) muskoj
臺北	tai2 bei3	Tajpeo; ĉefurbo de Tajvano
颱風	tai2 feng1	tifono
臺階	tai2 jie1	ŝtuparo
苔類	tai2 lei4	(pla-sci) muskoj
臺灣	tai2 wan1	Tajvano; la insulo Tajvano
苔蘚	tai2 xian3	(pla-sci) muskoj
苔衣	tai2 yi1	(pla-sci) muskoj
太	tai4	tro
鈦	tai4	(kem) titano; la elemento titano (Ti), atomnumero 22
態度	tai4 du4	sinteno
泰國語	tai4 guo2 yu3	la taja; la taja lingvo
太空	tai4 kong1	kosma spaco
太空人	tai4 kong1 ren2	astronaŭto
泰米爾語	tai4 mi3 er3 yu3	la tamila; la tamila lingvo
泰坦	Tai4 tan3	la Titanoj (helena mitologio)
泰文	tai4 wen2	la taja; la taja lingvo; "taja skribo"
太陽	tai4 yang2	(ast) Suno
太陽黑子	tai4 yang2  hei1 zi3	(ast) sunmakulo
太陽鏡	tai4 yang2 jing4	sunvitroj
太陽系	tai4 yang2 xi4	(ast) sunsistemo
太陽穴	tai4 yang2 xue2	(anat) tempio
泰語	tai4 yu3	la taja; la taja lingvo
太原	tai4 yuan2	Taijuan; ĉefurbo de la ĉina provinco Ŝanŝjio
貪心	tan1 xin1	avida
攤子	tan1 zi5	tapiŝeto
痰	tan2	(anat) kraĉaĵo
談	tan2	babili
彈簧	tan2 huang2	risorto
談天	tan2 tian1	babili
談天兒	tan2 tian1 er5	babili
彈性	tan2 xing4	fleksebla
鉭	tan3	(kem) tantalo; la elemento tantalo (Ta), atomnumero 73
碳	tan4	(kem) karbono; la elemento karbono (C), atomnumero 6
湯匙	tang1 chi2	kulero
唐	tang2	la Tang-dinastio; Dinastio Tang
螳	tang2	manto (insekto)
唐朝	tang2 chao2	Tang-dinastio; Dinastio Tang; 618-907 KE
螳螂	tang2 lang2	manto (insekto)
躺下	tang3 xia4	kuŝiĝi; ekkuŝi
桃	tao2	(pla-sci) persikarbo; (latine, Prunus persica)
逃避	tao2 bi4	eviti
桃花	tao2 hua1	(pla-sci) persikfloro
桃花心木	tao2 hua1 xin1 mu4	(pla-sci) mahagono
桃樹	tao2 shu4	(pla-sci) persikarbo; (latine, Prunus persica)
逃脫	tao2 tuo1	forkuri; eskapi
逃走	tao2 zou3	fuĝi
討厭	tao3 yan4	malami
鋱	te4	(kem) terbio; la elemento terbio (Tb), atomnumero 65
特	te4	speciala
特別	te4 bie2	speciala
特別行政區	te4 bie2  xing2 zheng4 qu1	speciala administra regiono
特洛伊戰爭	Te4 luo4 yi1  zhan4 zheng1	Troja milito (helena mitologio)
忒修斯	Te4 xiu1 si1	Tezeo (helena mitologio)
疼	teng2	dolora
藤蘿	teng2 luo2	(pla-sci) visterio; visterifloro (latine, Wisteria sinensis)
藤蘿花	teng2 luo2	(pla-sci) visterio; visterifloro (latine, Wisteria sinensis)
疼痛	teng2 tong4	doloro
銻	ti1	(kem) antimono; la elemento antimono (Sb), atomnumero 51
梯	ti1	ŝtuparo; ŝtupetaro
梯階	ti1 jie1	ŝtupo
梯牧草	ti1 mu4 cao3	(pla-sci) fleo; timoteo; (latine, Phleum pratense)
梯子	ti1 zi5	ŝtupetaro
鵜	ti2	pelikano (birdo)
提	ti2	mencii
提到	ti2 dao4	mencii
提供	ti2 gong4	provizi
鵜鶘	ti2 hu2	pelikano (birdo)
提名	ti2 ming2	nomumi
提示	ti2 shi4	konsileto
提坦巨神	Ti2 tan3  ju4 shen2	la Titanoj (helena mitologio)
提醒	ti2 xing3	memorigi
提議	ti2 yi4	propono
體操	ti3 cao1	gimnastiko
體詞語	ti3 ci2 yu3	substantivo (gramatiko)
體恤	ti3 xu4	T-ĉemizo
體育	ti3 yu4	sporto
體重	ti3 zhong4	pezo
天	tian1	tago
天	tian1	ĉielo
天安門廣場	tian1 an1 men2  guang3 chang3	Tian An Men-placo; "Pordego de (la) Ĉiela Paco"
門	tian1 an1 men2  guang3 chang3	pordego
天才	tian1 cai2	geniulo
天城文	tian1 cheng2 wen2	Nagario; la nagaria skribo
天鵝	tian1 e2	cigno (birdo)
天後希拉	tian1 hou4  He4 la1	Hera (helena mitologio)
天花板	tian1 hua1 ban3	plafono
天津	tian1 jin1	Tjanĝino; la ĉina urbo Tjanĝino
天空	tian1 kong1	ĉielo
天氣	tian1 qi4	vetero
天氣預報	tian1 qi4  yu4 bao4	veterinformoj
天然	tian1 ran2	natura
天使	tian1 shi3	anĝelo
天壇	tian1 tan2	la Ĉiela Altaro (en Pekino)
天堂	tian1 tang2	ĉielo
天體	tian1 ti3	(ast) ĉielkorpo; astro
天王星	tian1 wang2 xing1	(ast) Urano
天仙子	tian1 xian1 zi5	(pla-sci) hiskiamo; (latine, Hyoscyamus niger)
天線	tian1 xian4	anteno
天真	tian1 zhen1	naiva
天竺葵	tian1 zhu2 kui2	(pla-sci) pelargonio; pelargonifloro (latine, Pelargonium)
天主教	tian1 zhu3 jiao4	katolikismo
甜	tian2	dolĉa
甜味	tian2 wei4	dolĉa gusto
條件	tiao2 jian4	kondiĉo
條件從句	tiao2 jian4  cong2 ju4	kondiĉa propozicio (gramatiko)
條件語氣	tiao2 jian4  yu3 qi4	kondiĉa modo (gramatiko)
條件句	tiao2 jian4 ju4	kondiĉa frazo (gramatiko)
條件語	tiao2 jian4 yu3	kondicionalo (gramatiko)
調情	tiao2 qing2	koketi
條紋	tiao2 wen2	strio
條約	tiao2 yue1	traktato
調整	tiao2 zheng3	ĝustigi; alĝustigi; reĝustigi
挑戰	tiao3 zhan4	defio; defii
跳舞	tiao4 wu3	danci
跳蚤	tiao4 zao3	pulo (insekto)
貼紙	tie1 zhi3	glumarko
鐵	tie3	(kem) fero; la elemento fero (Fe), atomnumero 26
鐵錘	tie3 chui2	martelo
鐵路	tie3 lu4	fervojo
鐵木真	tie3 mu4 zhen1	Temuĝin; nomo de Ĝingis-Ĥano
鐵線蓮	tie3 xian4 lian2	(pla-sci) klematido; klematidfloro (latine, Clematis)
鐵線蓮花	tie3 xian4 lian2 hua1	(pla-sci) klematido; klematidfloro (latine, Clematis)
鐵鏽	tie3 xiu4	rusto
聽	ting1	aŭskulti
聽到	ting1 dao4	aŭdi
聽見	ting1 jian4	aŭdi
聽起來	ting1 qi3 lai2	soni
聽起來很像	ting1 qi3 lai2  hen3 xiang4	soni simile
聽起來像	ting1 qi5 lai2 xiang4	samsonoras kiel
聽筒	ting1 tong3	aŭskultilo
蜓	ting2	libelo (insekto)
停止	ting2 zhi3	halti; ĉesi
挺	ting3	sufiĉe
挺好	ting3 hao3	sufiĉe bona
通常	tong1 chang2	kutime
通知	tong1 zhi1	sciigi
同	tong2	sama
桐	tong2	(pla-sci) platano; platanarbo; (latine, Firmiana platanifolia)
銅	tong2	(kem) kupro; la elemento kupro (Cu), atomnumero 29
同	tong2	kaj
瞳	tong2	(anat) pupilo
同胞	tong2 bao1	samlandano
童話	tong2 hua4	fabelo
童話故事	tong2 hua4  gu4 shi4	fabelo
瞳孔	tong2 kong3	(anat) pupilo
同盟國	tong2 meng2 guo2	la Aliancanoj; (dua mondmilito)
同時	tong2 shi2	samtempe
同位素	tong2 wei4 su4	(fiz) izotopo
同意	tong2 yi4	konsenti
同義詞	tong2 yi4 ci2	sinonimo (gramatiko)
同義字	tong2 yi4 zi4	sinonimo (gramatiko)
同音詞	tong2 yin1 ci2	samnoma (gramatiko)
同音字	tong2 yin1 zi4	samnoma (gramatiko)
同志	tong2 zhi4	kamarado
同志	tong2 zhi4	(sla) samseksema; gejo
痛	tong4	doloro; dolora
痛苦	tong4 ku3	doloro
偷	tou1	ŝteli
頭	tou2	(anat) kapo
頭部	tou2 bu4	(anat) kapo
頭髮	tou2 fa4	(anat) haro; hararo
頭盔	tou2 kui4	kasko
頭顱	tou2 lu2	(anat) kranio
投票	tou2 piao4	voĉdoni
投降	tou2 xiang2	kapitulaci
頭暈	tou2 yun1	kapturna
投資	tou2 zi1	investi
突然	tu1 ran2	subite
圖版游戲	tu2 ban3  you2 xi4	tabulludo
圖片	tu2 pian4	bildo
圖書管理員	tu2 shu1  guan3 li3 yuan2	bibliotekisto
圖書館	tu2 shu1 guan3	biblioteko
釷	tu3	(kem) torio; la elemento torio (Th), atomnumero 90
土地	tu3 di4	tero
土耳其文	tu3 er3 qi2 wen2	la turka; la turka lingvo
土耳其語	tu3 er3 qi2 yu3	la turka; la turka lingvo
吐氣	tu3 qi4	elspiri
土壤	tu3 rang3	grundo; tero
土鼠	tu3 shu3	terrato (mambesto)
土星	tu3 xing1	(ast) Saturno; "Terstelo"
兔	tu4	kuniklo (mambesto)
兔子	tu4 zi5	kuniklo (mambesto)
團體	tuan2 ti3	grupo
推薦	tui1 jian4	rekomendi
推銷	tui1 xiao1	vendi
推銷員	tui1 xiao1 yuan2	vendisto
腿	tui3	(anat) gambo
腿肚子	tui3 du4 zi5	(anat) suro
退潮	tui4 chao2	malfluso
退休	tui4 xiu1	emeritiĝi
退休金	tui4 xiu1 jin1	pensio
吞	tun1	gluti
豚	tun2	porko (mambesto)
臀	tun2	(anat) gluteo
臀部	tun2 bu4	(anat) gluteo
豚草	tun2 cao3	(pla-sci) ambrosio; ambrosifloro (latine, Ambrosia artemisiifolia)
拖拉機	tuo1 la1 ji1	traktoro
拖鞋	tuo1 xie2	pantoflo
脫氧核糖核酸	tuo1 yang3  he2 tang2 he2 suan1	deoksiribonuklea acido; DNA
脫衣服	tuo1 yi1 fu5	senvestiĝi
駝	tuo2	kamelo (mambesto)
鴕	tuo2	struto (birdo)
鴕鳥	tuo2 niao3	struto (birdo)
蛙	wa1	rano (amfibio)
挖土機	wa1 tu3 ji1	fosmaŝino
瓦斯	wa3 si1	gaso
襪子	wa4 zi5	ŝtrumpeto
外表	wai4 biao3	aspekto
外耳	wai4 er3	(anat) orelkonko
外耳道	wai4 er3 dao4	(anat) eksterna orela kanalo
外國	wai4 guo2	eksterlanda
外國	wai4 guo2	alilando
外國人	wai4 guo2 ren2	alilandano
外國人	wai4 guo2 ren2	eksterlandano
外科醫生	wai4 ke1  yi1 sheng1	kirurgo
外面	wai4 mian4	ekstere
外套	wai4 tao4	palto
豌豆	wan1 dou4	pizo
玩	wan2	ludi
玩游戲	wan2  you2 xi4	ludi
頑固	wan2 gu4	kontraŭstarema; obstina
玩具	wan2 ju4	ludilo
完美	wan2 mei3	perfekta
完全	wan2 quan2	tute
皖	wan3	Anhujo; mallongiga formo de Anhujo
晚	wan3	malfrua
晚	wan3	vespero
晚飯	wan3 fan4	vespermanĝo
晚上	wan3 shang4	vespero
晚一點	wan3 yi4 dian3	pli malfrue; pliposte
萬	wan4	dek mil
腕	wan4	(anat) pojno
腕骨	wan4 gu3	(anat) karpaj ostoj
萬里長城	wan4 li3  chang2 cheng2	la Granda Muro
萬壽菊	wan4 shou4 ju2	(pla-sci) kalendulo; kalendulfloro (latine, Calendula officinalis)
萬壽菊花	wan4 shou4 ju2 hua1	(pla-sci) kalendulo; kalendulfloro (latine, Calendula officinalis)
萬維網	wan4 wei2 wang3	TTT; Tut-Tera Teksaĵo
萬億	wan4 yi4	duiliono; biliono (1 000 000 000 000)
萬有引力	wan4 you3  yin3 li4	(fiz) gravito
萬有引力場	wan4 you3  yin3 li4 chang3	(fiz) gravita kampo
王	wang2	reĝo (ŝako)
王	wang2	reĝo
王國	wang2 guo2	reĝlando
王子	wang2 zi3	princo
網	wang3	reto
網路	wang3 luo4	reto
網頁	wang3 ye4	retpaĝaro
忘	wang4	forgesi
忘記	wang4 ji4	forgesi
望遠鏡	wang4 yuan3 jing4	teleskopo
威爾士語	wei1 er3 shi4 yu3	la kimra; la kimra lingvo
危機	wei1 ji1	krizo
威斯特法倫和約	wei1 si1 te4 fa3 lun2  he2 yue1	Vestfalia Packontrakto; (1648 KE)
危險	wei1 xian3	danĝera; danĝero
微笑	wei1 xiao4	rideti
威脅	wei1 xie2	minaci
維持	wei2 chi2	teni
為…負責	wei2 fu4 ze2	respondeci pri
圍巾	wei2 jin1	koltuko
維納斯	Wei2 na4 si1	Venuso (romia mitologio)
圍棋	wei2 qi2	goo; vejĉio; vejĉi-ludo
圍裙	wei2 qun2	antaŭtuko
圍繞著	wei2 rao4 zhe5	ĉirkaŭ
圍繞著	wei2 rao4 zhe5	ĉirkaŭi
維斯塔	Wei2 si1 ta3	Vesta (romia mitologio)
圍著	wei2 zhe5	ĉirkaŭi
圍著	wei2 zhe5	ĉirkaŭ
鮪	wei3	tinuso (fiŝo)
尾	wei3	vosto
葦	wei3	(pla-sci) kano
尾巴	wei3 ba5	vosto
尾骨	wei3 gu3	(anat) kokcigo
鮪魚	wei3 yu2	tinuso (fiŝo)
委員會	wei3 yuan2 hui4	komitato
胃	wei4	(anat) stomako
蝟	wei4	erinaco (mambesto)
魏	wei4	la Ŭej-Reĝlando
味	wei4	gusto
未必	wei4 bi4	ne nepre
衛兵	wei4 bing1	gardisto
味道	wei4 dao4	gusto
魏國	wei4 guo2	Ŭej-Reĝlando; 220-265 KE
胃口	wei4 kou3	apetito
未來	wei4 lai2	estonto; estonteco
為了	wei4 le5	por
為什麼	wei4 shen2 me5	kial?
為什麼不	wei4 shen2 me5 bu4	kial ne
衛生	wei4 sheng1	higieno
衛生紙	wei4 sheng1 zhi3	neceseja papero
衛星	wei4 xing1	satelito; artefarita satelito
位於	wei4 yu2	situi
謂語	wei4 yu3	predikato (gramatiko)
溫度	wen1 du4	temperaturo
溫度表	wen1 du4 biao3	termometro
溫暖	wen1 nuan3	varma
溫馴	wen1 xun4	malsovaĝa
文	wen2	lingvo; skribo
蚊	wen2	moskito (insekto)
文	wen2	artikolo
文法	wen2 fa3	gramatiko
文化	wen2 hua4	kulturo
文件	wen2 jian4	dokumento
文件夾	wen2 jian4 jia1	dosierujo
聞名	wen2 ming2	fama
文明	wen2 ming2	civilizo
聞名世界	wen2 ming2  shi4 jie4	mondfama
文憑	wen2 ping2	diplomo
文學	wen2 xue2	literaturo
文言文	wen2 yan2 wen2	la klasika ĉina; la klasika ĉina lingvo
文藝復興	wen2 yi4  fu4 xing1	la Renesanco
文章	wen2 zhang1	artikolo
文字處理	wen2 zi4  chu3 li3	tekstotraktado
蚊子	wen2 zi5	moskito (insekto)
吻	wen3	kisi
問題	wen4 ti2	problemo
問題	wen4 ti2	demando
蝸	wo1	heliko
蝸牛	wo1 niu2	heliko
我	wo3	min
我	wo3	mi
我可不可以	wo3  ke3 bu5 ke3 yi3	ĉu mi rajtas
我自己的	wo3  zi4 ji3 de5	mia propra
我的…	wo3 de5	mia
我的	wo3 de5	la mia
我們	wo3 men5	ni
我們	wo3 men5	nin
我們自己的	wo3 men5  zi4 ji3 de5	nia propra
我們的	wo3 men5 de5	la nia
我們的…	wo3 men5 de5	nia
我們自己	wo3 men5 zi4 ji3	nia mem
我自己	wo3 zi4 ji3	mi mem
卧室	wo4 shi4	dormĉambro
烏	wu1	korniko (birdo)
屋頂	wu1 ding3	tegmento
烏爾都語	wu1 er3 du1 yu3	Urduo; la urdua lingvo
烏龜	wu1 gui1	testudo (reptilio)
烏克蘭語	wu1 ke4 lan2 yu3	la ukraina; la ukraina lingvo
烏拉諾斯	Wu1 la1 nuo4 si1	Urano (helena mitologio)
烏魯木齊	wu1 lu3 mu4 qi2	Urumĉio; ĉefurbo de la ĉina provinco Ŝinĝjango
烏木	wu1 mu4	(pla-sci) ebono; ebonarbo (latine, Diospyros ebenum)
烏木樹	wu1 mu4 shu4	(pla-sci) ebono; ebonarbo (latine, Diospyros ebenum)
巫婆	wu1 po2	sorĉistino
污染	wu1 ran3	malpurigo
巫師	wu1 shi1	sorĉisto
烏鴉	wu1 ya1	korniko (birdo)
烏賊	wu1 zei2	loligo
梧	wu2	(pla-sci) platano; platanarbo; (latine, Firmiana platanifolia)
吳	wu2	la Ŭu-Reĝlando
無	wu2	sen
無辜	wu2 gu1	senkulpa
吳國	wu2 guo2	Ŭu-Reĝlando; 222-280 KE
無花果樹	wu2 hua1 guo3 shu4	(pla-sci) figarbo; (latine, Ficus carica)
無聊	wu2 liao2	teda
無論如何	wu2 lun4 ru2 he2	malgraŭ tio
無名指	wu2 ming2 zhi3	ringa fingro; "sennoma fingro"
無人	wu2 ren2	neniu
無所不知	wu2 suo3 bu4 zhi1	ĉioscia
梧桐	wu2 tong2	(pla-sci) platano; platanarbo; (latine, Firmiana platanifolia)
梧桐樹	wu2 tong2 shu4	(pla-sci) platano; platanarbo; (latine, Firmiana platanifolia)
無尾熊	wu2 wei3 xiong2	koalo (mambesto)
無性	wu2 xing4	neseksa
無疑	wu2 yi3	sendube
無庸置疑	wu2 yong1 zhi4 yi3	senduba
無用	wu2 yong4	senutila
沒用	wu2 yong4	senutila
無知	wu2 zhi1	malscio
五	wu3	vendredo
鵡	wu3	papago (birdo)
午	wu3	tagmezo
五	wu3	kvin (5)
五分鐘	wu3  fen1 zhong1	kvin minutoj
五百	wu3 bai3	kvincent (500)
五百萬	wu3 bai3 wan4	kvin miliono (5 000 000)
五倍	wu3 bei4	kvinoble
五次	wu3 ci4	kvinfoje
五點	wu3 dian3	la kvina horo
五點鐘	wu3 dian3	la kvina horo
午飯	wu3 fan4	meztagmanĝo
五分之一	wu3 fen1 zhi1 yi1	kvinono
武漢	wu3 han4	Vuhano; ĉefurbo de la ĉina provinco Hubejo
舞會	wu3 hui4	balo
武器	wu3 qi4	armilo
五千	wu3 qian1	kvin mil (5 000)
五千萬	wu3 qian1 wan4	kvindek miliono (50 000 000)
侮辱	wu3 ru3	insulti; ofendi
侮辱	wu3 ru3	insulto
五十	wu3 shi2	kvindek (50)
五十八	wu3 shi2 ba1	kvindek ok (58)
五十二	wu3 shi2 er4	kvindek du (52)
五十九	wu3 shi2 jiu3	kvindek naŭ (59)
五十六	wu3 shi2 liu4	kvindek ses (56)
五十七	wu3 shi2 qi1	kvindek sep (57)
五十三	wu3 shi2 san1	kvindek tri (53)
五十四	wu3 shi2 si4	kvindek kvar (54)
五十萬	wu3 shi2 wan4	kvincent mil (500 000)
五十五	wu3 shi2 wu3	kvindek kvin (55)
五十一	wu3 shi2 yi1	kvindek unu (51)
五十億	wu3 shi2 yi4	kvin miliardo (5 000 000 000)
武術	wu3 shu4	luktosporto
五萬	wu3 wan4	kvindek mil (50 000)
午夜	wu3 ye4	noktomezo
五億	wu3 yi4	kvincent miliono (500 000 000)
五月	wu3 yue4	majo
五月八號	wu3 yue4  ba1  hao4	la oka de majo
五月八日	wu3 yue4  ba1  ri4	la oka de majo
五月二號	wu3 yue4  er4  hao4	la dua de majo
五月二日	wu3 yue4  er4  ri4	la dua de majo
五月二十號	wu3 yue4  er4 shi2  hao4	la dudeka de majo
五月二十日	wu3 yue4  er4 shi2  ri4	la dudeka de majo
五月二十八號	wu3 yue4  er4 shi2 ba1  hao4	la dudek oka de majo
五月二十八日	wu3 yue4  er4 shi2 ba1  ri4	la dudek oka de majo
五月二十二號	wu3 yue4  er4 shi2 er4  hao4	la dudek dua de majo
五月二十二日	wu3 yue4  er4 shi2 er4  ri4	la dudek dua de majo
五月二十九號	wu3 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de majo
五月二十九日	wu3 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de majo
五月二十六號	wu3 yue4  er4 shi2 liu4  hao4	la dudek sesa de majo
五月二十六日	wu3 yue4  er4 shi2 liu4  ri4	la dudek sesa de majo
五月二十七號	wu3 yue4  er4 shi2 qi1  hao4	la dudek sepa de majo
五月二十七日	wu3 yue4  er4 shi2 qi1  ri4	la dudek sepa de majo
五月二十三號	wu3 yue4  er4 shi2 san1  hao4	la dudek tria de majo
五月二十三日	wu3 yue4  er4 shi2 san1  ri4	la dudek tria de majo
五月二十四號	wu3 yue4  er4 shi2 si4  hao4	la dudek kvara de majo
五月二十四日	wu3 yue4  er4 shi2 si4  ri4	la dudek kvara de majo
五月二十五號	wu3 yue4  er4 shi2 wu3  hao4	la dudek kvina de majo
五月二十五日	wu3 yue4  er4 shi2 wu3  ri4	la dudek kvina de majo
五月二十一號	wu3 yue4  er4 shi2 yi1  hao4	la dudek unua de majo
五月二十一日	wu3 yue4  er4 shi2 yi1  ri4	la dudek unua de majo
五月九號	wu3 yue4  jiu3  hao4	la naŭa de majo
五月九日	wu3 yue4  jiu3  ri4	la naŭa de majo
五月六號	wu3 yue4  liu4  hao4	la sesa de majo
五月六日	wu3 yue4  liu4  ri4	la sesa de majo
五月七號	wu3 yue4  qi1  hao4	la sepa de majo
五月七日	wu3 yue4  qi1  ri4	la sepa de majo
五月三號	wu3 yue4  san1  hao4	la tria de majo
五月三日	wu3 yue4  san1  ri4	la tria de majo
五月三十號	wu3 yue4  san1 shi2  hao4	la trideka de majo
五月三十日	wu3 yue4  san1 shi2  ri4	la trideka de majo
五月三十一號	wu3 yue4  san1 shi2 yi1  hao4	la tridek unua de majo
五月三十一日	wu3 yue4  san1 shi2 yi1  ri4	la tridek unua de majo
五月十號	wu3 yue4  shi2  hao4	la deka de majo
五月十日	wu3 yue4  shi2  ri4	la deka de majo
五月十八號	wu3 yue4  shi2 ba1  hao4	la dek oka de majo
五月十八日	wu3 yue4  shi2 ba1  ri4	la dek oka de majo
五月十二號	wu3 yue4  shi2 er4  hao4	la dek dua de majo
五月十二日	wu3 yue4  shi2 er4  ri4	la dek dua de majo
五月十九號	wu3 yue4  shi2 jiu3  hao4	la dek naŭa de majo
五月十九日	wu3 yue4  shi2 jiu3  ri4	la dek naŭa de majo
五月十六號	wu3 yue4  shi2 liu4  hao4	la dek sesa de majo
五月十六日	wu3 yue4  shi2 liu4  ri4	la dek sesa de majo
五月十七號	wu3 yue4  shi2 qi1  hao4	la dek sepa de majo
五月十七日	wu3 yue4  shi2 qi1  ri4	la dek sepa de majo
五月十三號	wu3 yue4  shi2 san1  hao4	la dek tria de majo
五月十三日	wu3 yue4  shi2 san1  ri4	la dek tria de majo
五月十四號	wu3 yue4  shi2 si4  hao4	la dek kvara de majo
五月十四日	wu3 yue4  shi2 si4  ri4	la dek kvara de majo
五月十五號	wu3 yue4  shi2 wu3  hao4	la dek kvina de majo
五月十五日	wu3 yue4  shi2 wu3  ri4	la dek kvina de majo
五月十一號	wu3 yue4  shi2 yi1  hao4	la dek unua de majo
五月十一日	wu3 yue4  shi2 yi1  ri4	la dek unua de majo
五月四號	wu3 yue4  si4  hao4	la kvara de majo
五月四日	wu3 yue4  si4  ri4	la kvara de majo
五月五號	wu3 yue4  wu3  hao4	la kvina de majo
五月五日	wu3 yue4  wu3  ri4	la kvina de majo
五月一號	wu3 yue4  yi1  hao4	la unua de majo
五月一日	wu3 yue4  yi1  ri4	la unua de majo
武裝	wu3 zhuang1	arma
武裝衝突	wu3 zhuang1  chong1 tu1	arma konflikto
鎢	wu4	(kem) volframo; la elemento volframo (W), atomnumero 74
誤	wu4	eraro
誤	wu4	malfruigi
誤會	wu4 hui4	miskompreno
誤解	wu4 jie3	miskompreni
霧氣	wu4 qi4	nebulo
物態	wu4 tai4	(fiz) fazo de materio; stato de materio
物質	wu4 zhi4	(fiz) materio
硒	xi1	(kem) seleno; la elemento seleno (Se), atomnumero 34
犀	xi1	rinocero (mambesto)
蟋	xi1	grilo (insekto)
吸	xi1	fumi
吸	xi1	uzi (drogojn)
犧	xi1	oferi
蜥	xi1	lacerto
錫	xi1	(kem) stano; la elemento stano (Sn), atomnumero 50
矽	xi1	(kem) silicio; la elemento silicio (Si), atomnumero 14
西安	xi1 an1	Ŝjiano; ĉefurbo de la ĉina provinco Ŝenŝjio
西班牙文	xi1 ban1 ya2 wen2	la hispana; la hispana lingvo
西班牙語	xi1 ban1 ya2 yu3	la hispana; la hispana lingvo
希伯來話	xi1 bo2 lai2 hua4	la hebrea; la hebrea lingvo; "hebrea parolo"
希伯來文	xi1 bo2 lai2 wen2	la hebrea; la hebrea lingvo
希伯來語	xi1 bo2 lai2 yu3	la hebrea; la hebrea lingvo
吸塵器	xi1 chen2 qi4	polvosuĉilo
吸毒	xi1 du2	uzi drogojn
西方	xi1 fang1	okcidento
西方文化	xi1 fang1  wen2 hua4	okcidenta kulturo
西府海棠	xi1 fu3  hai3 tang2	(pla-sci) sovaĝa pomarbo; (latine, Malus)
西府海棠樹	xi1 fu3  hai3 tang2 shu4	(pla-sci) sovaĝa pomarbo; (latine, Malus)
膝蓋	xi1 gai4	(anat) genuo
膝蓋骨	xi1 gai4 gu3	(anat) patelo
西晉	xi1 jin4	Okcidenta Ĝin-dinastio; 265-316 KE
錫克教	xi1 ke4 jiao4	sikhismo
希臘話	xi1 la1 hua4	la greka; la greka lingvo; "greka parolo"
希臘文	xi1 la1 wen2	la greka; la greka lingvo
希臘語	xi1 la1 yu3	la greka; la greka lingvo
希臘神話	xi1 la4  shen2 hua4	helena mitologio; helena mitaro
