開放世漢詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［世界語］	［中文］
mallongigo	縮寫
malluma	黑暗
malluma materio	暗物質
malmodesta	傲慢
malmola	硬
malmulta	少
malmultekosta	便宜
malneto	草稿
malnova	老舊，舊
malofta	不頻發的，不常見的，稀少的，罕見的
malofte	很少有，不經常
malokupata	有空
maloportuna	不方便
malpacienca	不耐煩
malpermanenta	暫時
malpermesi	禁止
malpeza	輕
malpeza akvo	輕水
malpeza industrio	輕工業
malplena	空
malpli	少一點
malpliigi	減少
malpreciza	模糊
malprofunda	淺
malproksima	遠
malpura	骯髒
malpurigo	污染
malrapida	遲，慢
malrapide	慢慢
malrapidtrajno	慢車
malrapidvagonaro	慢車
malreala	假
malrekta	間接
malriĉa	貧窮
malŝalti lampon	關燈，關電燈
malsama	不同，不一樣
malsamo	差別
malsana	病
malsaniĝi	生病
malsano	疾，疾病，病
malsanulejo	醫院
malsanulo	病人
malŝarĝi	卸載，卸下
malsata	肚子餓
malsatega	饑餓
malsatego	饑荒
malscio	無知
malseka	濕
malseketaĵo	水分
malsimpla	複雜
malŝlosi	開鎖，開啟
malŝminki	卸妝
malsovaĝa	溫馴
malŝpari	浪費
malŝpari la tempon	浪費時間
malŝpari tempon	浪費時間
malŝparita	白費的，浪費的
malŝparo	浪費
malstreĉi	放寬
malstreĉiĝa	輕鬆，鬆
malstreĉiĝi	放輕鬆，放鬆
malstreĉita	鬆，輕鬆
malstrikta	鬆
malsukcesi	失敗
malsupre	下面，樓下
malsuprensalti	跳下
maltrafi	錯過
maltrankvila	緊張，擔心
malvarma	冷，寒冷
malvarmega	寒冷
malvarmumo	感冒
malvenko	挫敗，失敗，敗北
mambesto	哺乳動物，哺乳動物
mamo	乳，奶，乳房
mandarena	國語，官話，華語，北京話，普通話
mandiblo	頜骨，下頜，下顎，頜，顎骨，顎
mandragoro	曼陀羅草
manĝaĵo	食物
mangano	錳
mangarbo	芒果樹
manĝfingro	食指
manĝi	吃
manĝo	飯
manĝokarto	菜單
mangrovo	紅樹林，紅樹
maniero	方式，方法
maniso	穿山甲
mankateno	手銬，銬
manki	欠缺，缺少
manksako	手提袋
manlaboro	勞動
manlibro	手冊
mano	手
manplato	掌，手掌
manpremi	握手
manpremo	握手
mansaketo	手提袋
manto	螳螂，螳
mantuko	毛巾，手巾
maorio	毛利人
mar erinaco	海膽
mar-lutro	海獺
mararmeo	海軍
marbordo	海邊，海岸
mardo	星期二，禮拜二，二，周二
marfundo	海底
marioneto	木偶
maristo	水手
marleono	海獅
maro	海洋
marondo	海浪
Marso	火星，瑪爾斯
Marso I	火衛一
marstelo	海星
martelo	鐵錘
martestudo	海龜
marto	三月
masaĝi	按摩
maŝino	機器
maso	質量
masonisto	石匠
mastro	主人，主
matematiko	數學
matenmanĝi	吃早餐
matenmanĝo	早餐，噪音
mateno	早上，上午
materio	物質
matraco	床墊
matura	成熟，熟
meblaro	傢具
mebloj	傢具
meduzo	水母
mefito	臭鼬鼠
Mekao	麥加
meleagro	火雞
melo	狗獾，貛
melodio	旋律，調子
membro	肢
membro de la korpo	肢
membroj	四肢
membroj de la korpo	四肢
memfida	有信心，有自信
memoraĵo	紀念品
memori	記住，記得，記
memorigi	提醒，紀念
memoro	記憶
mencii	提到，提
mendelevio	鍆
menso	心，頭腦，思想
mensogi	撒謊，說大話，騙人，說謊
mensogi al	騙
mensogisto	騙子
mensogo	大話，謊言，謊，謊話
mensogulo	騙子
mentono	下巴
menuo	菜單
merkato	市場，市
merkredo	禮拜三，三，星期三，周三
Merkuro	默丘利，水星
mesaĝo	訊息
metaforo	比喻，隱喻
metalo	金屬
meteorito	隕石
meteoro	流星
meteoroido	流星體
meteorpluvo	流星雨
meti	放
metodo	方法
metroo	地下鐵
mevo	海鷗
meza	中
mezaĝa	中年
mezaĝa viro	中年男子
mezfingro	中指
meznombra	平均
meztagmanĝi	吃午飯
meztagmanĝo	午飯
mi	我
mi bedaŭras	不好意思，抱歉
mi mem	我自己
mi tre bedaŭras	真不好意思，很抱歉
mia	我的…
mia propra	我自己的
mielmonato	蜜月
mieno	表情
migdalkukaĵo	杏仁餅，杏仁酥
migdalo	杏仁
migdalokula	有杏仁眼
migri	移民
mikroskopo	顯微鏡
mil	千，一千
miliardo	一十億，十億
miliono	一百萬，百萬
militĉaro	車
militistaro	陸軍
militkrimulo	戰犯
militmalliberulo	戰俘
milito	戰爭，戰
miloble	千倍
milono	千分之一
mimozfloro	含羞草
mimozo	含羞草
min	我
minaci	威脅
minaco	恐嚇
Minerva	密涅瓦
Ming-dinastio	明朝
ministro	相
mino	地雷
Minotaŭro	米諾陶
minuto	分鐘，分
miraklo	奇跡
miriga	令人吃驚
mirinda	精彩
miskompreni	誤解
miskompreno	誤會
mistera	神秘
misuzi	濫用
mitaro	神話
mito	神話
mitokondrio	線粒體，粒線體
mitologio	神話
modelo	模式
moderna	現代
modesta	謙虛
modo	語氣
moki	嘲笑，笑
mola	軟
mola histo	軟組織
molaro	臼齒
molekula maso	分子量
molekulo	分子
molibdeno	鉬
momente	一回兒
momento	時刻
monato	月
monbileto	鈔票
monbiletujo	皮夾
Monda Banko	世界銀行，國際復興開發銀行
Monda Organizaĵo pri Sano	世衛組織，世界衛生組織，世衛
mondfama	聞名世界
mondo	世界，世
monereta mono	零錢
monero	硬幣
monkesto	保險箱
monludi	賭博
mono	金錢
monoftongo	單母音
monstro	怪物
monteto	山丘，小山
monto	山
montra fingro	食指
montra pronomo	指示代詞，指示詞
montri	給…看
montrofenestro	櫥窗
monujo	錢包
moralo	道德
morfemo	基本詞彙
morfologio	詞法，形態，構詞學
morgaŭ	明，明天
morti	去世
mortigi	殺死，殺
morto	死亡
mortpuno	死刑
morusarbo	桑樹，桑
moskeo	清真寺
moskito	蚊，蚊子
motivo	動機
motorciklo	機車
movi	移動，活動
movlibero	活動的餘地，活動的空間
movo	行動
mueldento	臼齒
muko	黏液
mulo	騾，騾子
multa	多
multaj	多
multĉelula	多細胞
multĉelula organismo	多細胞生物
multekosta	貴
multfoje	多次
multsignifa	很有意思
multspeca	多種
mumio	木乃伊
Munkena Interkonsento	慕尼黑協定
Munkena Konferenco	慕尼黑會議
murdi	謀殺
murdinto	凶手
muro	牆壁
murpapero	壁紙
muŝkaptilo de Venuso	捕蠅草
muskatarbo	肉豆蔻樹
muskoj	苔類，苔，青苔，苔衣，苔蘚
muskola histo	肌組織
muskola sistemo	肌肉系統
muskolo	肌，肌肉
muso	老鼠，滑鼠器，鼠
muŝo	蒼蠅，蠅
mustelo	黃鼠狼
muzeo	博物館
muzikgrupo	樂隊
muzikilo	樂器
muzikistaro	音樂團體
muzikisto	音樂家
muziko	樂，音樂
Muzoj	繆斯，詩歌女神繆斯姐妹
nacia himno	國歌
nacilingvo	民族語，母語
Nagario	天城文
naĝbaseno	游泳池
naĝi	游泳
naĝilo de ŝarko	魚翅，翅
naiva	天真
najbara	隔壁
najbaro	鄰居
najtingalo	夜鶯
nana stelo	矮星
Nanĉango	南昌
Nankingo	南京
Nanningo	南寧
narcisfloro	水仙花
narciso	水仙花
Narciso	那西塞斯
naski	生，生下
naskiĝdato	出生日期
naskiĝfesto	生日宴會
naskiĝi	生，出生
naskiĝis	生於
naskiĝtago	生日
naskokanalo	產道
natrio	鈉
natura	天然
naturdotita	有才能
naturo	自然
naŭ	九
naŭ mil	九千
naŭ miliardo	九十億
naŭ miliono	九百萬
naŭa	第九
naŭcent	九百
naŭcent mil	九十萬
naŭcent miliono	九億
naŭdek	九十
naŭdek du	九十二
naŭdek kvar	九十四
naŭdek kvin	九十五
naŭdek mil	九萬
naŭdek miliono	九千萬
naŭdek naŭ	九十九
naŭdek ok	九十八
naŭdek sep	九十七
naŭdek ses	九十六
naŭdek tri	九十三
naŭdek unu	九十一
naŭdeka	第九十
naŭfoje	九次
naŭoble	九倍
naŭono	九分之一
naŭza	噁心，惡
naza	鼻的，鼻音的
naza sinuso	鼻竇
nazia Germanio	納粹德國
nazkataro	感冒
nazmuko	鼻涕
nazo	鼻，鼻子
nazradiko	鼻梁
naztruo	鼻孔
naztuko	手帕
ne	非，不了，不
ne dankinde	不謝，不用謝謝，不客氣，不用謝
ne devus	不應該
ne dificila	不難
ne ekzisti	沒有
ne estas permesita	嚴禁
ne esti	不是，沒有
ne ĝenu min	別煩我
ne gravas	不要緊，沒關係
ne havi	沒有
ne malbona	不錯
ne malbone	還好，不錯
ne malfacila	不難
ne morala	不道德
ne nepre	未必，不一定，不見得，也不一定
ne nur	不只，不止，不但
ne nur... sed eĉ...	不但…還…
ne plu	不再
ne virta	不道德
ne voli	不要
ne ~u	別～，不要
Ne-Registara Organizaĵo	非政府組織
nea	消極
nea vorto	否定詞
neatendita	想不到
nebulo	霧氣
nebulozo	星雲
neceseja papero	衛生紙
neceseja seĝo	馬桶
necesejo	廁所
necesseĝo	馬桶
necesujo	馬桶
nedankinde	不謝，不用謝謝，不用謝，不客氣
nedaŭra	暫時
nedeklinaciebla	詞尾不變
nedeklinaciebla vorto	詞尾不變詞
nedifinita artikolo	不定詞
neebla	不可能
neelparolata litero	不發音字母
neforgesebla	難忘
negativo	否定詞
neĝbulo	雪球
neĝero	雪片，雪花
neĝhomo	雪人
neĝi	下雪
neĝo	雪
negocisto	商人
negoco	生意
nei	否認
nek	也不
nekredebla	不可思議
neleĝa	不合法，非法
nelonge	一回兒
nenia problemo	沒問題
neniam	從沒
neniu	誰都不，沒有人，無人，沒人，誰不
nenormala	不正常
neodimo	釹
neono	氖
neordinara	非常
nepra	絕對
nepre	必，一定，一定
nepre ne	一定不，決不
neptunio	鎿
Neptuno	涅普頓，海王星
Neptuno I	海衛一
nerekta objekto	間接賓語
nerekta parolo	間接引語
nerva sistemo	神經系統
nervo	神經
neseksa	無性
netransitiva verbo	不及物動詞
netuŝuminfloro	鳳仙花
netuŝumino	鳳仙花
neŭtra	中性
neŭtra genro	中性
neŭtra substantivo	中性名詞
neŭtra vorto	中性詞
neŭtrono	中子
neŭtronstelo	中子星
nevenkebla	無敵
ni	我們
ni ~u	不如
nia	我們的…
nia mem	我們自己
nia propra	我們自己的
nigra	黑色，黑
nigra humuro	黑色幽默
nigra tabulo	黑板
nigra truo	黑洞
nikelo	鎳
nikotiano	煙草
nin	我們
Ningŝjao	寧，寧夏
niobo	鈮
nitrogeno	氮
nivelo	程度
nobelio	鍩
nocio	概念
nokto	夜晚，夜
noktomezo	午夜
nombro	數字，數
nomi	叫
nomiĝi	叫做，叫
nominativa kazo	主格
nominativo	主格
nomo	名，名字
nomo de Ĝingis-Ĥano	鐵木真
nomumi	提名
Nord-Atlantika Traktat-Organizaĵo	北約，北約組織，北大西洋公約組織
norda cervo	馴鹿
Norda kaj Suda Dinastioj	南北朝
Norda Song-dinastio	北宋
nordo	北方
norma	普通，標準
normala	正常
normĉina	普通話，國語
noti	做筆記
notlibro	筆記本
noto	筆記，備忘錄，成績
nova	新
novaĵoj	新聞
novao	新星
novembro	十一月
nuba	多雲
nubo	雲
nuklea centralo	核能發電廠，核電廠，核電站
nuklea fendiĝo	核分裂
nuklea kunfandiĝo	核融合，核聚變
nuklea reakcio	核反應
nul	零，〇
nuligi	取消
numero	號碼，號
nun	現在
nur	只，而已
Nurenberga proceso	紐倫堡審判
nutra	營養
oazo	綠洲
objektiva	客觀
objekto	賓語
oblo	倍
observi	觀察
obstina	固執，頑固
Odiseo	奧德修斯
ofendi	侮辱，冒犯
ofendiĝi	感到冒犯
oferi	犧牲，牲，犧
oficejo	辦公室
oficiala	官，官方
oficista rango	官
oficisto	官
ofta	頻繁的，經常的
ofte	常，常常
ok	八
ok mil	八千
ok miliardo	八十億
ok miliono	八百萬
oka	第八
okazaĵo	機會，事件
okaze	偶然，碰巧
okazi	發生
okazigi	導致，引起，使發生
okazo	機會
okcent	八百
okcent mil	八十萬
okcent miliono	八億
okcidenta	西方的，西邊的，西部的
Okcidenta Ĝin-dinastio	西晉
okcidenta kulturo	西方文化
Okcidenta Ŝja-dinastio	西夏
okcidento	西方
okcipita lobo	枕葉
okdek	八十
okdek du	八十二
okdek kvar	八十四
okdek kvin	八十五
okdek mil	八萬
okdek miliono	八千萬
okdek naŭ	八十九
okdek ok	八十八
okdek sep	八十七
okdek ses	八十六
okdek tri	八十三
okdek unu	八十一
okdeka	第八十
okfoje	八次
okoble	八倍
okono	八分之一
okromarbo	西印度輕木
okromo	西印度輕木
oksigeno	氧
oktobro	十月
okulglobo	眼球
okulharo	睫，眼睫毛，睫毛
okulisto	眼科醫生
okulkavo	眼窩
okulo	眼，睛，目，眼睛
okulumi	凝視，盯著看
okulvitroj	眼鏡
okupata	沒空，忙碌，忙
ol	比
Olimpikoj	奧運會，奧運
olivarbo	欖，橄，橄欖樹
omaro	龍蝦
ombrelo	雨傘
ombro	影，影子
ondego	巨浪
ondo	浪，波浪
onidiro	謠言
onomastiko	姓名學
onomatopeo	象聲詞
OPEL	油組
operacio	手術
operaciumo	操作系統
opero	歌劇
opinio	意見，看法
oportuna	方便
optika iluzio	光幻覺，光學幻覺，錯視
optika nervo	視神經
optiko	光學
optimisma	樂觀
ora	金
oranĝa	橘色
oranĝa stelo	橙星
oranĝarbo	橙，橙樹
oranĝkolora	橘色
orbito	眼窩
orcino	虎鯨
orda	整潔
ordigi	整理
ordinara	平常，普通
ordoni	命令
ordono	命令
orela lobo	耳垂
orelkonko	耳廓，外耳
orellobo	耳垂
orelo	耳，耳朵
orelringo	耳環
orelvakso	耳垢
oretamburo	鼓膜
orfejo	孤兒院
Orfeo	俄爾甫斯
orfo	孤兒
organeto	細胞器
organika	有機
organismo	生物
organizaĵo	機構，組織
Organizaĵo de Petrol-Eksportaj Landoj	油組，石油輸出國組織
Organizaĵo de UN por Edukado, Scienco kaj Kulturo	聯合國教育科學文化組織
Organizaĵo por Ekonomia Kunlaboro kaj Evoluo	經濟合作發展組織，經合發組織
Organizo de la Islama Konferenco	伊斯蘭會議組織
organo	器官
Orienta Ĝin kaj la Deksesa-Reĝlandoj	東晉十六國
Orienta Ĝin-dinastio	東晉
orienta kulturo	東方文化
orientamerika larikarbo	美洲落葉松樹，美洲落葉松
orientamerika lariko	美洲落葉松樹，美洲落葉松
oriento	東方
oriento kaj nordo	東西
originala	獨到
origine	本來
orkido	蘭，蘭花
orko	虎鯨
orkolora	金，金色
ornitorinko	鴨嘴獸
oro	金
Orostelo	金星
orpluvfloro	金鏈花
orpluvo	金鏈花
ortodoksismo	希臘正教
orvergo	秋麒麟草
oscedi	打哈欠
oscedo	哈欠
osmantarbo	桂花樹
osmanto	桂花樹
osmantofloro	桂花，桂
osmio	鋨
osta histo	骨組織
osta medolo	骨髓，髓
ostaro	骷，髏，骨骼，骨架，骷髏
osto	骨頭，骨
ostohisto	骨組織
ostro	牡蠣，蠣
ovodukto	輸卵管
ovujo	卵巢
pacienca	有耐心
pacienco	耐心
packontrakto	和約
paco	和平，安
pafilego	炮
pagi	付錢，付給
paĝo	頁
pajlo	稻草
pakaĵo	行李
paketo	包裹
pakvagono	行李車
paladio	鈀
palindromo	迴文
Palio	巴利語
palisandro	薔薇樹，花梨樹，花梨木樹，花梨木，黃檀樹，薔薇木，黃檀木
palmo	棕，棕櫚，棕櫚樹，櫚
palpebro	眼皮
palpi	摸，抓，觸摸
palto	外套，大衣
pampelmusarbo	柚，柚樹，柚子樹
panarbo	木波羅樹，麵包果樹，麵包樹，木波羅
pando	熊貓，貓熊
Pandora	潘多拉
panero	麵包屑
paniko	恐慌
panisto	麵包師傅
pankreaso	胰，胰臟
pano	麵包
panrostilo	烤麵包機
pansaĵo	繃帶
pantalono	褲子
pantoflo	拖鞋
papago	鵡，鸚，鸚鵡
papajarbo	木瓜樹
papavetfloro	虞美人花，虞美人
papaveto	虞美人，虞美人花
papavfloro	罌粟花
papavo	罌粟花
paperkorbo	廢紙簍
papero	紙，紙張
papilio	蝶，蝴蝶，蝴
paragrafo	段，段落
paralela	平行
paraŝuto	降落傘
parazito	寄生物
pardoni	原諒
pardonon	對不起
pardonu min	很抱歉
parenca	親
parencaro	親戚
parenco	親屬，親戚
parfumo	香水
parieta lobo	頂葉
Pariza Packonferenco	巴黎和會，巴黎和會
Pariza packontrakto	巴黎和約，巴黎和約
parkejo	停車場
parko	公園
parolado	演講
parolas esperanton	講世界語
paroli	說話，講話，會
paroli esperante	說世界語，講世界語
paroli esperanton	說世界語
parolilo	喇叭
parolo	語，言語，腔
participo	分詞
partieco	偏見
partiklo	粒子
partikulo	助詞
partio	政黨，黨，派對
Partio de Eŭropaj Socialdemokratoj	歐洲社會黨
parto	部分
parto de parolo	詞類
partopreni	參加
pasero	麻雀，雀
pasi	經過
pasinteco	過去
pasio	激情
pasiva	被動
pasiva participo	被動分詞
pasiva voĉo	被動語態
pasivo	被動語態
paŝo	步調，步，腳步
pasporto	護照
patelo	膝蓋骨
patriĉo kaj filiĉo	父子
patriĉo kaj filino	父女
patriĉofiliĉa	父子
patriĉofilina	父女
patrino kaj filiĉo	母子
patrino kaj filino	母女
patrino kaj filo	母子
patrinofila	母子
patrinofiliĉa	母子
patrinofilina	母女
patrio	故鄉
patriota	愛國
patriotismo	愛國主義
patro kaj filino	父女
patro kaj filo	父子
patrofila	父子
patrofilina	父女
patroli	巡邏
paŭzi	休息
peco da papero	一張紙
pediko	虱
Pegazo	飛馬
pego	啄木鳥
pejzaĝo	風景，景
Pekino	北京，京
pektoralo	胸大肌
pelargonifloro	天竺葵
pelargonio	天竺葵
pelikano	鵜，鶘，鵜鶘
pelvo	骨盆
penado	努力
pendumo	絞刑
peni	力圖，試圖，爭取
peno	努力，力氣
pensadi	思考
pensado	思想
pensi	覺得，想
pensi ke	認為
pensio	退休金，養老金
pensmaniero	想法
penso	念頭
penti	懺悔
pentraĵo	畫
pentri	畫畫
pentri pentraĵon	畫畫
pentristo	畫家
peonifloro	牡丹，牡丹花
peonio	牡丹花，牡丹
peono	兵
per	用
pera	間接
peranto	經紀人
perdi	失，失去
perdiĝi	迷路
perfekta	完美
perfidi	背叛
perforta	暴力
perforto	暴力
perikardo	心包
Periodo de la Deksesa-Reĝlandoj	十六國
Periodo de la Orienta Ĝin kaj la Deksesa-Reĝlandoj	東晉十六國
Periodo de la Tri Reĝlandoj	三國時代，三國
permesilo	執照
persekutado	迫害
persekuti	迫害
Perseo	珀耳修斯，珀修斯
persikarbo	桃，桃樹
persikfloro	桃花
persona	個人
persona pronomo	人稱代詞
personeco	個性
persono	人
pesilo	磅秤
pesimisma	悲觀
petalo	瓣，花瓣
petola	淘氣，胡鬧
petolaĵo	惡作劇
petolema	調皮的，愛胡鬧的
petoli	胡鬧，搗蛋
petunifloro	矮牽牛花
petunio	矮牽牛花
peza	重
peza industrio	重工業
pezo	重量，體重
piano	鋼琴
picearbo	雲杉樹，雲杉
picejo	匹薩店，披薩店，比薩店
piceo	雲杉，雲杉樹
pico	披薩，匹薩，比薩，比薩餅，披薩餅，匹薩餅
piedfingro	腳趾頭，趾
piediranto	行人
piedo	足，腳
piedspuro	腳印，足跡
pika	辣的，有刺的，有倒鉤的
pika gusto	辣味
pikdrato	鐵絲網
pikilo	刺，倒鉤
pikniko	野餐
pilgrimado al Mekao	麥加朝聖
Pilgrimo al la Okcidento	西游記
pilo	電池
pinarbo	松，松樹
pinglo	別針
pingveno	企鵝
pino	松，松樹
piramido	金字塔
pirarbo	梨，梨樹
pirato	海盜
pistilo	雌蕊
pistilo de floro	雌蕊
pituitaria glando	腦垂腺
pivotradiko	直根，主根
pizo	豌豆
placento	胎盤
plaĉi	取悅
plaĉi al	喜歡
placo	廣場
plafono	天花板
plaĝo	沙灘
plando	腳底
planedo	行星，星球，惑星
planko	地板
plano	計劃
plantejo	農園
planto	植物
plasto	塑膠
platanarbo	懸鈴木樹，梧，梧桐，懸鈴木，桐，梧桐樹
platano	懸鈴木樹，梧桐樹，懸鈴木，桐，梧，梧桐
plateno	鉑
platikodonfloro	僧帽花，鈴鐺花，桔梗
platikodono	桔梗花，桔梗，鈴鐺花，僧帽花
pledi	辨護
plej	最
plejparto	大多數，大部分
plena	滿
plena da	充滿了
plendi	抱怨
plendo	牢騷，怨言
plenkreska	成人
plenkreskulo	成人，大人
plenluno	滿月
plezura	愉快
pli	比較，較，更
pli kaj pli	越來越
pli kaj pli bone	越來越好
pli malfrue	晚一點
pli malpli	差不多
pli multa	多一點
plia	額外
plialtigi	增加
plibonigi	改善
pliboniĝi	改進，變得更好
pliboniĝo	進步
plifortigi	增強
plimulta	更多
plimultigi	增加
pliposte	晚一點
plori	哭，流眼淚，哭泣，流淚
plorsalikarbo	垂柳，垂柳樹
plorsaliko	垂柳，垂柳樹
plu	多一點
plumbo	鉛
plumo	羽毛，筆，羽
pluraj	多
plurala finaĵo	複數詞尾
plurala pronomo	複數代名詞，複數代詞
pluralo	複數
plurjara	多年生
plurjara herbo	多年生草本
plutonio	鈽，鈈
Plutono	冥王星，普魯托
pluvero	雨滴
pluvi	下雨
pluvmantelo	雨衣
pluvo	雨
poema	詩意
poemaro	詩集
poemo	詩歌
poeto	詩人
poezia	詩意
pojno	手腕，腕
polekso	大拇指
polemiko	爭議
poleno	花粉
policano	警察，警察人員
policejo	警察局
policisto	警察，警察人員
polico	警察，警
politiko	政治，政策
polonio	釙
polpo	章魚
polusa urso	北極熊
polvo	塵土，灰
polvoŝovelilo	畚箕
polvosuĉilo	吸塵器
pomarbo	蘋，蘋果樹
poplarbo	白楊樹，白楊
poplo	白楊樹，白楊
popolkanto	民謠，民歌
popolo	人民，民
populara	流行，紅
por	為了
pordego	門
Pordego de Ĉiela Paco	天安門廣場
pordo	門戶，門口，戶，門
porko	豚，豕，豬
poro	毛孔
poŝdiskilo	隨身聽
poseda kazo	所有格
poseda pronomo	所有格代名詞
posedaĵo	財產
posedi	擁有
posedo	所有格
poŝkasedilo	隨身聽
poŝlanterno	手電筒
poŝo	口袋
post	後，以後
poŝtaĵo	郵件
postbrako	膀
postdrinka kapdoloro	宿醉
poste	以後，然後
postebrio	宿醉
poŝtejo	郵局
poŝtisto	郵差
poŝtkarto	明信片
postkuri	追趕
poŝtmarko	郵票
poŝto	郵
poŝtoficejo	郵局
postparto de kolo	項
postpozicio	後置詞
postsigno	線索
postsono	回聲
posttagmezo	下午
poŝtuko	手帕
postuli	要求
postulo	要求
postvango	屁股
potencebla	潛在
potenciala	潛在
Potsdama Konferenco	波茨坦會議
povi	能，會，可以
poviga	潛在
Pozidono	波塞冬
pozitiva	積極
praavoj	祖先
praĉelo	乾細胞
Praeksplodo	大爆炸
praktika	實際
prapatroj	祖先
prava	真實
pravi	說得對
prazeodimo	鐠
precipe	尤其
predikato	述語，謂語，動詞謂語
prefikso	字首，首碼
preĝi	禱告，禮拜
preĝo	祈禱
premi butonon	按電鈕，按鈕
premiiĝi	中獎
premo	壓力，壓強
premolaro	前臼齒
premsonĝo	噩夢，夢魘，惡夢，魘
preni	拿
preni la tutan respondecon	負全部責任
prepozicio	前置詞，介詞
presilo	印表機
preskaŭ	差點，幾乎
preskaŭ nenio	幾乎沒有
preskaŭ neniu	幾乎沒有
preta	準備好了
preteksto	藉口
preterita participo	過去分詞
preterita tempo	過去式
pretiĝi	準備
pretigi	準備
pretpansaĵo	繃帶
preventi	阻止
prezenca tempo	現在時
prezenti	介紹
prezidanto	總統
prezkonjekto	預算
prezo	價格
pri	關於
primoki	嘲笑
primolfloro	報春花，櫻草花
primolo	櫻草花，報春花
princino	公主
princo	王子
printempo	春，春天
pripensi	考慮
priskribi	形容
privata	私人，私
privateco	隱私
priverŝi	澆水，澆
prizorgi	照顧
pro tio	所以
probablo	機會率，概率，機率，或然率
problemo	問題，麻煩
procedi	進行
procedo	手續
procezo	過程
prociono	浣熊
produkti	產生
produkto	產品
profesia	職業
profesio	行業
profesoro	教授
profetaĵo	預言
profeto	先知
profito	利潤
profunda	深
programaro	軟體
programo	節目
progresi	進步
progreso	進步
prokarioto	原核生物
proksima	近
proksimaĵo	附近
proksimulo	鄰居
proksimume	左右
promeni	散步
promesi	答應
promeso	承諾
Prometeo	普羅米修斯
prometio	鉕
pronomo	代詞，代名詞
prononcmaniero	口音
prononco	發音
proponi	建議
propono	建議，提議
propozicio	從句，子句
propra	私人，私，自己的
propra nomo	專有名詞
propraĵo	財產
propraokule	親眼
propraokule vidi	親眼看到
prospera	繁榮
prostato	攝護腺，前列腺
protaktinio	鏷
proteino	蛋白質
protekti	保護
protestantismo	新教
protesti	抗議
proton	質子
provi	試，試圖，嘗試
provinco	省，省份
provizejo	倉庫
provizi	提供
provizora	暫時
provizore	臨時
provizumi	供應
provtubo	試管
prunarbo	李樹，李
prunelarbo	黑刺李樹，黑刺李
pruntedoni al	借給
pruntepreni libron	借書
pruntepreni monon	借錢
prunti al	借給
prunti libron	借書
prunti monon	借錢
prunto	貸款
pruvi	證明
pruvo	證據
psikologo	心理學家
publika	公用，公
publika telefono	公用電話
pugno	拳頭，拳
pugo	屁股
pulma arterio	橈動脈，肺動脈
pulmo	肺臟，肺
pulo	蚤，跳蚤
pulsaro	脈衝星
pulso	脈搏
pulsostelo	脈衝星
pulvoro	粉末
pumo	美洲獅
puni	處罰
puno	懲罰
pupilo	瞳，瞳孔
pupo	傀儡
pura	乾凈
pura alkoholo	酒精
purigi	清潔
purpura	紫色，紫
puŝi	推
puŝo	推
puso	膿
puŝveturilo	手推車，獨輪推車
puto	井
racieco	理性
racio	道理
radaro	雷達
radikalulo	激進分子
radiko	樹根，根，詞根
radio	收音機
radiumo	鐳
radiuso	橈骨
radono	氡
rajdi sur ĉevalo	騎馬
rajti	可，可以
rajto	權利
raketo	火箭
rakonti	告訴
rakontintrigo	劇情
rakonto	故事
Ramadano	齋戒月
ranido	蝌蚪，蝌，蚪
rano	蛙，青蛙
rapida	快
rapideco	速度
rapidi	趕
rapidi al	趕往，趕到
rapidvagonaro	快車
raporti	報導
raporto	報告
raŭpo	毛毛蟲
re	再
reago	反映
reala	真，真正
realaĵo	現實
rebonigi	修理
red dwarf	紅矮星
redaktisto	編輯
redaktoro	編輯
redoni	還給
refleksiva pronomo	反身代詞
regi	控制
reĝino	女王
regiono	區
reĝisoro	導演
registaro	政府
reĝlando	王國
reĝo	王，國王，王
regulo	規則
reĝustigi	調整
reiri	回去
reiri hejmen	回家
reklamo	廣告
rekomendi	推薦，薦
rekompenco	報酬
rekoni	辨認
rekordo	紀錄
rekta	直接
rekta objekto	直接賓語
rekta parolo	直接引語
rektangulo	長方形
religio	宗教，教
rendevuo	約會
renio	錸
renkonti	見面，見，遇到，見面
renkontiĝi	見面
reno	腎臟，腎
repagi	償還，還錢
reprezenti	代表
reprodukta organo	生殖器官，生殖器
reprodukta sistemo	生殖系統
reptilio	爬蟲類
resanigi	醫
resono	回聲
respekti	尊重
respekto	尊敬
respondaparato	答錄機
respondeca	負責
respondeci pri	負責，負責任，為…負責
respondeco	責任
respondeculo	負責人
respondi	回答
respondo	答案
restanta dento	恆齒
resti	留，留在，保持
restmono	零錢
restoracio	餐廳
retino	視網膜
reto	網路，網，絡
retotaglibro	部落格，博客
retpaĝaro	網頁
retpoŝt-adreso	伊妹兒地址，電子郵件地址，電郵地址
retpoŝto	電子郵件，電郵，伊妹兒
reveni	回來
revi	作白日夢
revidi	再見
revo	白日夢
revolucio	革命
revuo	雜誌
rezino	樹脂
rezisti	抵抗
rezona	合理
rezulto	結果
ribonukleata acido	核糖核酸
ribosomo	核糖體
riĉa	有錢
riĉeco	財富
ricevatesto	收據
ricevi	收到
ridado	笑聲
rideti	微笑
rideto	笑容
ridi	樂，笑
ridiga	好笑
ridinda	可笑
ridmieno	笑臉
