开放汉世词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界语］
五十七	wu3 shi2 qi1	kvindek sep (57)
五十三	wu3 shi2 san1	kvindek tri (53)
五十四	wu3 shi2 si4	kvindek kvar (54)
五十万	wu3 shi2 wan4	kvincent mil (500 000)
五十五	wu3 shi2 wu3	kvindek kvin (55)
五十一	wu3 shi2 yi1	kvindek unu (51)
五十亿	wu3 shi2 yi4	kvin miliardo (5 000 000 000)
武术	wu3 shu4	luktosporto
五万	wu3 wan4	kvindek mil (50 000)
午夜	wu3 ye4	noktomezo
五亿	wu3 yi4	kvincent miliono (500 000 000)
五月	wu3 yue4	majo
五月八号	wu3 yue4  ba1  hao4	la oka de majo
五月八日	wu3 yue4  ba1  ri4	la oka de majo
五月二号	wu3 yue4  er4  hao4	la dua de majo
五月二日	wu3 yue4  er4  ri4	la dua de majo
五月二十号	wu3 yue4  er4 shi2  hao4	la dudeka de majo
五月二十日	wu3 yue4  er4 shi2  ri4	la dudeka de majo
五月二十八号	wu3 yue4  er4 shi2 ba1  hao4	la dudek oka de majo
五月二十八日	wu3 yue4  er4 shi2 ba1  ri4	la dudek oka de majo
五月二十二号	wu3 yue4  er4 shi2 er4  hao4	la dudek dua de majo
五月二十二日	wu3 yue4  er4 shi2 er4  ri4	la dudek dua de majo
五月二十九号	wu3 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de majo
五月二十九日	wu3 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de majo
五月二十六号	wu3 yue4  er4 shi2 liu4  hao4	la dudek sesa de majo
五月二十六日	wu3 yue4  er4 shi2 liu4  ri4	la dudek sesa de majo
五月二十七号	wu3 yue4  er4 shi2 qi1  hao4	la dudek sepa de majo
五月二十七日	wu3 yue4  er4 shi2 qi1  ri4	la dudek sepa de majo
五月二十三号	wu3 yue4  er4 shi2 san1  hao4	la dudek tria de majo
五月二十三日	wu3 yue4  er4 shi2 san1  ri4	la dudek tria de majo
五月二十四号	wu3 yue4  er4 shi2 si4  hao4	la dudek kvara de majo
五月二十四日	wu3 yue4  er4 shi2 si4  ri4	la dudek kvara de majo
五月二十五号	wu3 yue4  er4 shi2 wu3  hao4	la dudek kvina de majo
五月二十五日	wu3 yue4  er4 shi2 wu3  ri4	la dudek kvina de majo
五月二十一号	wu3 yue4  er4 shi2 yi1  hao4	la dudek unua de majo
五月二十一日	wu3 yue4  er4 shi2 yi1  ri4	la dudek unua de majo
五月九号	wu3 yue4  jiu3  hao4	la naŭa de majo
五月九日	wu3 yue4  jiu3  ri4	la naŭa de majo
五月六号	wu3 yue4  liu4  hao4	la sesa de majo
五月六日	wu3 yue4  liu4  ri4	la sesa de majo
五月七号	wu3 yue4  qi1  hao4	la sepa de majo
五月七日	wu3 yue4  qi1  ri4	la sepa de majo
五月三号	wu3 yue4  san1  hao4	la tria de majo
五月三日	wu3 yue4  san1  ri4	la tria de majo
五月三十号	wu3 yue4  san1 shi2  hao4	la trideka de majo
五月三十日	wu3 yue4  san1 shi2  ri4	la trideka de majo
五月三十一号	wu3 yue4  san1 shi2 yi1  hao4	la tridek unua de majo
五月三十一日	wu3 yue4  san1 shi2 yi1  ri4	la tridek unua de majo
五月十号	wu3 yue4  shi2  hao4	la deka de majo
五月十日	wu3 yue4  shi2  ri4	la deka de majo
五月十八号	wu3 yue4  shi2 ba1  hao4	la dek oka de majo
五月十八日	wu3 yue4  shi2 ba1  ri4	la dek oka de majo
五月十二号	wu3 yue4  shi2 er4  hao4	la dek dua de majo
五月十二日	wu3 yue4  shi2 er4  ri4	la dek dua de majo
五月十九号	wu3 yue4  shi2 jiu3  hao4	la dek naŭa de majo
五月十九日	wu3 yue4  shi2 jiu3  ri4	la dek naŭa de majo
五月十六号	wu3 yue4  shi2 liu4  hao4	la dek sesa de majo
五月十六日	wu3 yue4  shi2 liu4  ri4	la dek sesa de majo
五月十七号	wu3 yue4  shi2 qi1  hao4	la dek sepa de majo
五月十七日	wu3 yue4  shi2 qi1  ri4	la dek sepa de majo
五月十三号	wu3 yue4  shi2 san1  hao4	la dek tria de majo
五月十三日	wu3 yue4  shi2 san1  ri4	la dek tria de majo
五月十四号	wu3 yue4  shi2 si4  hao4	la dek kvara de majo
五月十四日	wu3 yue4  shi2 si4  ri4	la dek kvara de majo
五月十五号	wu3 yue4  shi2 wu3  hao4	la dek kvina de majo
五月十五日	wu3 yue4  shi2 wu3  ri4	la dek kvina de majo
五月十一号	wu3 yue4  shi2 yi1  hao4	la dek unua de majo
五月十一日	wu3 yue4  shi2 yi1  ri4	la dek unua de majo
五月四号	wu3 yue4  si4  hao4	la kvara de majo
五月四日	wu3 yue4  si4  ri4	la kvara de majo
五月五号	wu3 yue4  wu3  hao4	la kvina de majo
五月五日	wu3 yue4  wu3  ri4	la kvina de majo
五月一号	wu3 yue4  yi1  hao4	la unua de majo
五月一日	wu3 yue4  yi1  ri4	la unua de majo
武装	wu3 zhuang1	arma
武装冲突	wu3 zhuang1  chong1 tu1	arma konflikto
钨	wu4	(kem) volframo; la elemento volframo (W), atomnumero 74
误	wu4	eraro
误	wu4	malfruigi
误会	wu4 hui4	miskompreno
误解	wu4 jie3	miskompreni
雾气	wu4 qi4	nebulo
物态	wu4 tai4	(fiz) fazo de materio; stato de materio
物质	wu4 zhi4	(fiz) materio
硒	xi1	(kem) seleno; la elemento seleno (Se), atomnumero 34
犀	xi1	rinocero (mambesto)
蟋	xi1	grilo (insekto)
吸	xi1	fumi
吸	xi1	uzi (drogojn)
牺	xi1	oferi
蜥	xi1	lacerto
锡	xi1	(kem) stano; la elemento stano (Sn), atomnumero 50
矽	xi1	(kem) silicio; la elemento silicio (Si), atomnumero 14
西安	xi1 an1	Ŝjiano; ĉefurbo de la ĉina provinco Ŝenŝjio
西班牙文	xi1 ban1 ya2 wen2	la hispana; la hispana lingvo
西班牙语	xi1 ban1 ya2 yu3	la hispana; la hispana lingvo
希伯来话	xi1 bo2 lai2 hua4	la hebrea; la hebrea lingvo; "hebrea parolo"
希伯来文	xi1 bo2 lai2 wen2	la hebrea; la hebrea lingvo
希伯来语	xi1 bo2 lai2 yu3	la hebrea; la hebrea lingvo
吸尘器	xi1 chen2 qi4	polvosuĉilo
吸毒	xi1 du2	uzi drogojn
西方	xi1 fang1	okcidento
西方文化	xi1 fang1  wen2 hua4	okcidenta kulturo
西府海棠	xi1 fu3  hai3 tang2	(pla-sci) sovaĝa pomarbo; (latine, Malus)
西府海棠树	xi1 fu3  hai3 tang2 shu4	(pla-sci) sovaĝa pomarbo; (latine, Malus)
膝盖	xi1 gai4	(anat) genuo
膝盖骨	xi1 gai4 gu3	(anat) patelo
西晋	xi1 jin4	Okcidenta Ĝin-dinastio; 265-316 KE
锡克教	xi1 ke4 jiao4	sikhismo
希腊话	xi1 la1 hua4	la greka; la greka lingvo; "greka parolo"
希腊文	xi1 la1 wen2	la greka; la greka lingvo
希腊语	xi1 la1 yu3	la greka; la greka lingvo
希腊神话	xi1 la4  shen2 hua4	helena mitologio; helena mitaro
希腊正教	xi1 la4 zheng4 jiao4	ortodoksismo
西宁	xi1 ning2	Ŝjiningo; ĉefurbo de la ĉina provinco Ĉinghajo
犀牛	xi1 niu2	rinocero (mambesto)
吸入	xi1 ru4	enspiri
牺牲	xi1 sheng1	oferi
吸收	xi1 shou1	sorbi
蟋蟀	xi1 shuai4	grilo (insekto)
希望	xi1 wang4	esperi
西夏	xi1 xia4	Okcidenta Ŝja-dinastio; 1038-1227 KE
吸血鬼	xi1 xie3 gui3	vampiro
吸烟	xi1 yan1	fumi
西洋棋	xi1 yang2 qi2	ŝako; ŝakludo (okcidenta ŝako)
蜥蜴	xi1 yi4	lacerto
吸引	xi1 yin3	allogi
西印度轻木	xi1 yin4 du4  qing1 mu4	(pla-sci) okromo; okromarbo (latine, Ochroma pyramidale)
西游记	xi1 you2 ji4	Pilgrimo al la Okcidento; la romano "Pilgrimo al la Okcidento"
西藏	xi1 zang4	Tibeto; provinco de Ĉinio
锡	xi2	(kem) stano; la elemento stano (Sn), atomnumero 50
习惯	xi2 guan4	kutimo
习惯	xi2 guan4	kutimi
习惯用语	xi2 guan4  yong4 yu3	idiotismo; idiotisma esprimo (gramatiko)
习惯了	xi2 guan4 le5	kutime
习惯了	xi2 guan4 le5	alkutimiĝi
习惯于	xi2 guan4 yu2	alkutimiĝi
习惯语	xi2 guan4 yu3	idiotismo (gramatiko)
洗发精	xi3 fa4 jing1	ŝampuo
喜欢	xi3 huan5	ŝati; plaĉi al
喜剧	xi3 ju4	komedio
喜林芋	xi3 lin2 yu4	(pla-sci) filodendrono; (latine, Philodendron)
洗手间	xi3 shou3 jian1	lavejo
洗碗机	xi3 wan3 ji1	vazlavilo; vazlavmaŝino
洗澡	xi3 zao3	duŝi sin
细	xi4	maldika
细胞	xi4 bao1	ĉelo; biologia ĉelo
细胞分裂	xi4 bao1  fen1 lie4	ĉela dividiĝo; ĉeldividiĝo
细胞组织	xi4 bao1  zu3 zhi1	(anat) ĉela histo
细胞核	xi4 bao1 he2	ĉelkerno
细胞器	xi4 bao1 qi4	organeto
系词	xi4 ci2	kopulo (lingvistiko)
细节	xi4 jie2	detalo
戏剧	xi4 ju4	teatraĵo
细菌	xi4 jun4	bakterio
系列	xi4 lie4	serio
系统	xi4 tong3	sistemo
戏院	xi4 yuan4	teatro
虾	xia1	salikoko
虾子	xia1 zi5	salikoko
狭义相对论	xia2 yi4  xiang1 dui4 lun4	(fiz) Speciala Relativeco
狭窄	xia2 zhai3	mallarĝa
下	xia4	(komp) elŝuti
下	xia4	sub
夏	xia4	la Ŝja-dinastio; Dinastio Ŝja
夏	xia4	somero
下巴	xia4 ba5	(anat) mentono
夏朝	xia4 chao2	Ŝja-dinastio; Dinastio Ŝja; ~2100 a.KE-~1600 a.KE
下颚	xia4 e4	(anat) mandiblo
下个	xia4 ge4	sekvanta
下颌	xia4 han4	(anat) mandiblo
下降	xia4 jiang4	malleviĝi
下列	xia4 lie4	jenaj; sekvaj
下流	xia4 liu2	fia
下面	xia4 mian4	sub; malsupre
下棋	xia4 qi2	ŝakludi
夏天	xia4 tian1	somero
下午	xia4 wu3	posttagmezo
下雪	xia4 xue3	neĝi
下雨	xia4 yu3	pluvi
下载	xia4 zai4	elŝuti
夏至	xia4 zhi4	la sumera solstico
氙	xian1	(kem) ksenono; la elemento ksenono (Xe), atomnumero 54
仙人掌	xian1 ren2 zhang3	(pla-sci) kakto
纤维	xian1 wei2	fibro
先知	xian1 zhi1	profeto
咸	xian2	sala
咸味	xian2 wei4	sala gusto
嫌疑人	xian2 yi2 ren2	suspektato
显然	xian3 ran2	ŝajne
显微镜	xian3 wei1 jing4	mikroskopo
腺	xian4	(anat) glandoj
现代	xian4 dai4	moderna
现金	xian4 jin1	kontanto
陷阱	xian4 jing3	kaptilo
线粒体	xian4 li4 ti3	mitokondrio
羡慕	xian4 mu4	envii
现实	xian4 shi2	vero; realaĵo
线索	xian4 suo3	postsigno
现象	xian4 xiang4	fenomeno
现在	xian4 zai4	nun
现在时	xian4 zai4 shi2	prezenca tempo (gramatiko)
限制	xian4 zhi4	limigi
香	xiang1	aroma
湘	xiang1	Hunano; mallongiga formo de Hunano
箱	xiang1	kesto
香柏	xiang1 bai3	(pla-sci) cedro; cedrarbo (latine, Cedrus)
香柏树	xiang1 bai3 shu4	(pla-sci) cedro; cedrarbo (latine, Cedrus)
相对论	xiang1 dui4 lun4	(fiz) teorio de relativeco
香港	xiang1 gang3	Honkongo (Ŝianggango); speciala administra regiono de Ĉinio
香港特别行政区	Xiang1 gang3  te4 bie2  xing2 zheng4 qu1	Honkongo Speciala Administra Regiono (de Ĉinio)
相互	xiang1 hu4	unu la alian
相互…	xiang1 hu4	... unu la alian
香蕉树	xiang1 jiao1 shu4	(pla-sci) bananarbo; (latine, Musa acuminata)
香蒲	xiang1 pu2	(pla-sci) tifao; (latine, Typha latifolia)
香气	xiang1 qi4	aromo
相劝	xiang1 quan4	konsili
香水	xiang1 shui3	parfumo
相同	xiang1 tong2	identa
相信	xiang1 xin4	kredi
香烟	xiang1 yan1	cigaredo
香脂冷杉	xiang1 zhi1  leng3 shan1	(pla-sci) balzama abio; balzama abiarbo (latine, Abies balsamea)
详细	xiang2 xi4	detala
想	xiang3	pensi
享	xiang3	ĝui
想不到	xiang3 bu5 dao4	neatendita
想法	xiang3 fa3	pensmaniero
享受	xiang3 shou4	ĝui
想睡	xiang3 shui4	dormema
响尾蛇	xiang3 wei3 she2	sonserpento (reptilio)
想象	xiang3 xiang4	imagi
想象力	xiang3 xiang4 li4	imago
想要	xiang3 yao4	voli
像	xiang4	simila
项	xiang4	(anat) kolo
相	xiang4	ministro (ĉina ŝako)
象	xiang4	elefanto (mambesto)
象	xiang4	kuriero (ŝako)
橡	xiang4	(pla-sci) kverko; kverkarbo (latine, Quercus)
象	xiang4	elefanto (ĉina ŝako)
项	xiang4	(anat) postparto de kolo
相	xiang4	(fiz) fazo de materio; stato de materio
橡胶	xiang4 jiao1	kaŭĉuko
橡胶树	xiang4 jiao1 shu4	(pla-sci) kaŭĉukarbo; (latine, Hevea brasiliensis)
项链	xiang4 lian4	kolĉeno
橡皮擦	xiang4 pi2 ca1	gumo
象棋	xiang4 qi2	ĉina ŝako; "elefanta ŝako"
向日葵	xiang4 ri4 kui2	(pla-sci) helianto; heliantfloro (latine, Helianthus annuus)
象声词	xiang4 sheng1 ci2	onomatopeo (gramatiko)
橡树	xiang4 shu4	(pla-sci) kverko; kverkarbo (latine, Quercus)
相态	xiang4 tai4	(fiz) fazo de materio; stato de materio
象牙	xiang4 ya2	eburo; elefanta dentego
象征	xiang4 zheng1	simbolo; simboli
消费者	xiao1 fei4 zhe3	konsumanto
消化	xiao1 hua4	digesti; digesto
消化系统	xiao1 hua4  xi4 tong3	digesta sistemo
消极	xiao1 ji2	nea
削铅笔器	xiao1 qian1 bi3 qi4	krajonpintigilo
小	xiao3	ida (besto); -ido
小	xiao3	malgranda
小肠	xiao3 chang2	(anat) maldika intesto
小孩	xiao3 hai2	infaneto; bebo
小鸡	xiao3 ji1	kokido
小马	xiao3 ma3	ĉevalido
小马驹	xiao3 ma3 ju1	ĉevalido
小麦	xiao3 mai4	tritiko
小猫	xiao3 mao1	katido
小脑	xiao3 nao3	(anat) cerebelo; cerbeto
小牛	xiao3 niu2	bovido
小山	xiao3 shan1	monteto
小舌	xiao3 she2	(anat) uvulo
小时	xiao3 shi1	horo
小说	xiao3 shuo1	romano
小提琴	xiao3 ti2 qin2	violono
小偷	xiao3 tou1	ŝtelisto
小腿	xiao3 tui3	(anat) kruro
小心	xiao3 xin1	singarda; singardema; zorga; zorgema
小心	xiao3 xin1	atenton
小行星	xiao3 xing2 xing1	(ast) asteroido
小学	xiao3 xue2	elementa lernejo
小羊	xiao3 yang2	ŝafido
小指	xiao3 zhi3	etfingro; malgranda fingro
小组	xiao3 zu3	grupeto; grupo
小组	xiao3 zu3	grupo; malgranda grupo
笑	xiao4	moki
笑	xiao4	ridi
效果	xiao4 guo3	efiko
笑话	xiao4 hua4	ŝerco
笑脸	xiao4 lian3	ridmieno
效率	xiao4 lv4	efikeco
笑容	xiao4 rong2	rideto
校长	xiao4 zhang3	lernejestro
些	xie1	iuj
蠍	xie1	skorpio
蠍子	xie1 zi5	skorpio
鞋带	xie2 dai4	ŝulaĉo
邪恶	xie2 e4	malbono; malico
邪恶	xie2 e4	malbonega; malica
斜方肌	xie2 fang1 ji1	(anat) trapeza muskolo
鞋子	xie2 zi5	ŝuo
写	xie3	skribi
写字	xie3 zi4	skribi
写字台	xie3 zi4 tai2	skribotablo
谢	xie4	dankon
谢	xie4	danki
蟹	xie4	krabo
屑	xie4	ero
谢了	xie4 le5	dankon
谢谢	xie4 xie5	danki
谢谢	xie4 xie5	dankon
心	xin1	(anat) koro
锌	xin1	(kem) zinko; la elemento zinko (Zn), atomnumero 30
新	xin1	nova
新	xin1	Ŝinĝjango; mallongiga formo de Ŝinĝjango
心瓣	xin1 ban4	kora valvo
心包	xin1 bao1	perikardo
心搏	xin1 bo2	(anat) korbato
薪柴	xin1 chai2	brulligno
心房	xin1 fang2	aŭriklo
辛亥革命	xin1 hai4  ge2 ming4	la Ĉina revolucio de 1911; "la Sinhaja revolucio"
新疆	xin1 jiang1	Ŝinĝjango; provinco de Ĉinio
新教	xin1 jiao4	protestantismo
心理学家	xin1 li3 xue2 jia1	psikologo
心灵	xin1 ling2	spirito; animo
心情	xin1 qing2	humoro
欣赏	xin1 shang3	ŝati
心室	xin1 shi4	ventriklo
薪水	xin1 shui3	salajro
心痛	xin1 tong4	kordoloro
新闻	xin1 wen2	novaĵoj
新闻报纸	xin1 wen2  bao4 zhi3	gazeto
新闻记者	xin1 wen2  ji4 zhe3	ĵurnalisto
新鲜	xin1 xian1	freŝa
新星	xin1 xing1	(ast) novao
心血管系统	xin1 xue4 guan3  xi4 tong3	kardiovaskula sistemo
心脏	xin1 zang4	(anat) koro
信	xin4	kredi
信	xin4	letero
信号	xin4 hao4	signalo
信赖	xin4 lai4	fido
信任	xin4 ren4	fidi je
信箱	xin4 xiang1	leterkesto
信仰	xin4 yang3	fido
信用	xin4 yong4	kredito
信用卡	xin4 yong4 ka3	kreditkarto
星	xing1	(ast) stelo
兴奋	xing1 fen4	ekscitita
星期二	xing1 qi1 er4	mardo
星期六	xing1 qi1 liu4	sabato
星期日	xing1 qi1 ri4	dimanĉo
星期三	xing1 qi1 san1	merkredo
星期四	xing1 qi1 si4	ĵaŭdo
星期天	xing1 qi1 tian1	dimanĉo
星期五	xing1 qi1 wu3	vendredo
星期一	xing1 qi1 yi1	lundo
星期	xing1 qi2	semajno
星球	xing1 qiu2	planedo
星体	xing1 ti3	(ast) astro
星系	xing1 xi4	(ast) galaksio
星星	xing1 xing1	stelo
星云	xing1 yun2	(ast) nebulozo
行程	xing2 cheng2	horaro
行动	xing2 dong4	movo
行李	xing2 li3	pakaĵo
行李箱	xing2 li3 xiang1	valizo
行人	xing2 ren2	piediranto
形容	xing2 rong2	priskribi
形容词	xing2 rong2 ci2	adjektivo (gramatiko)
形容词词尾	xing2 rong2 ci2  ci2 wei3	adjektiva finiĝo (gramatiko)
形态	xing2 tai4	morfologio (lingvistiko)
行为	xing2 wei2	konduto
行星	xing2 xing1	(ast) planedo
行政	xing2 zheng4	administra
形状	xing2 zhuang4	formo
醒	xing3	maldorma
醒	xing3	malebria
醒	xing3	malebriiĝi
醒来	xing3 lai2	vekiĝi
醒着	xing3 zhe5	maldormi
性	xing4	genro
性	xing4	karaktero; humoro
性	xing4	sekso
性	xing4	-eco
姓	xing4	familia nomo
性	xing4	-seksa
性别	xing4 bie2	sekso
幸福	xing4 fu2	feliĉo; feliĉeco
性感	xing4 gan3	amorveka
姓名学	xing4 ming2 xue2	onomastiko
兴趣	xing4 qu4	intereso
性生活	xing4 sheng1 huo2	seksvivo
姓氏	xing4 shi4	familia nomo
杏树	xing4 shu4	(pla-sci) abrikotarbo; (latine, Prunus armeniaca)
性质	xing4 zhi4	eco
胸	xiong1	(anat) brusto
胸部	xiong1 bu4	(anat) torako
胸大肌	xiong1 da4 ji1	(anat) pektoralo (muskolo)
胸骨	xiong1 gu3	(anat) sternumo
胸脯	xiong1 pu2	(anat) brusto
凶手	xiong1 shou3	murdinto
匈牙利语	xiong1 ya2 li4 yu3	la hungara; la hungara lingvo
雄	xiong2	vira (besto); vir-
熊	xiong2	urso (mambesto)
雄	xiong2	virseksa
雄马	xiong2 ma3	virĉevalo
熊猫	xiong2 mao1	pando (mambesto)
雄蕊	xiong2 rui3	(plantoj) stameno
雄性	xiong2 xing4	virseksa
休	xiu1	ripozi
修理	xiu1 li3	rebonigi; ripari
休息	xiu1 xi5	paŭzi; ripozi
溴	xiu4	(kem) bromo; la elemento bromo (Br), atomnumero 35
锈	xiu4	rusto
绣球花	xiu4 qiu2 hua1	(pla-sci) hortensio; hortensifloro (latine, Hydrangea macrophylla)
需	xu1	bezoni
虚拟语气	xu1 ni3  yu3 qi4	subjunkcio (gramatiko)
虚荣	xu1 rong2	vanta
需要	xu1 yao4	bezoni
蓿	xu5	(pla-sci) trifolio; trifolifloro (latine, Trifolium)
宣布	xuan1 bu4	anonci
悬铃木	xuan2 ling2 mu4	(pla-sci) platano; platanarbo (latine, Platanus)
悬铃木树	xuan2 ling2 mu4 shu4	(pla-sci) platano; platanarbo (latine, Platanus)
旋律	xuan2 lv4	melodio
漩涡	xuan2 wo1	turnakvo
选择	xuan3 ze2	elekti; elekto
穴	xue2	kavo
学	xue2	studi
学生	xue2 sheng5	lernanto; studanto
学习	xue2 xi5	lerni; studi
学校	xue2 xiao4	lernejo
学院	xue2 yuan4	kolegio
鳕	xue3	gado (fiŝo)
雪	xue3	neĝo
雪茄	xue3 jia1	cigaro
雪片	xue3 pian4	neĝero
雪橇	xue3 qiao1	glitveturilo; sledo
雪球	xue3 qiu2	neĝbulo
雪人	xue3 ren2	neĝhomo
雪松	xue3 song1	(pla-sci) cedro; cedrarbo (latine, Cedrus)
雪松树	xue3 song1 shu4	(pla-sci) cedro; cedrarbo (latine, Cedrus)
鳕鱼	xue3 yu2	gado (fiŝo)
血管	xue4 guan3	(anat) angioj
血红蛋白	xue4 hong2  dan4 bai2	(anat) hemoglobino
血红素	xue4 hong2 su4	(anat) hemoglobino
血球	xue4 qiu2	(anat) sangoĉelo
血色素	xue4 se4 su4	(anat) hemoglobino
血细胞	xue4 xi4 bao1	(anat) sangoĉelo
血液	xue4 ye4	(anat) sango
薰衣草	xun1 yi1 cao3	(pla-sci) lavendo; lavendfloro (latine, Lavandula angustifolia)
荨	xun2	(pla-sci) urtiko; (latine, Urtica dioica)
循环	xun2 huan2	ĉirkaŭiri
循环系统	xun2 huan2  xi4 tong3	sangocirkula sistemo
巡逻	xun2 luo2	patroli
荨麻	xun2 ma2	(pla-sci) urtiko; (latine, Urtica dioica)
询问	xun2 wen4	demandi
驯鹿	xun4 lu4	boaco; norda cervo (mambesto)
讯息	xun4 xi1	mesaĝo
鸭	ya1	anaso (birdo)
鸦	ya1	korniko (birdo)
压力	ya1 li4	premo
压强	ya1 qiang2	(fiz) premo
鸭子	ya1 zi5	anaso (birdo)
鸭嘴兽	ya1 zui3 shou4	ornitorinko (mambesto)
牙	ya2	(anat) dento
牙齿	ya2 chi3	(anat) dento
牙床	ya2 chuang2	(anat) dentokarno
牙膏	ya2 gao1	dentopasto
牙签	ya2 qian1	dentopikilo
牙刷	ya2 shua1	dentobroso
牙医	ya2 yi1	dentisto
牙龈	ya2 yin2	(anat) dentokarno
雅典娜	Ya3 dian3 na4	Atena (helena mitologio)
雅尔塔会议	ya3 er3 ta3  hui4 yi4	Jalta Konferenco; (1945 KE)
氩	ya4	(kem) argono; la elemento argono (Ar), atomnumero 18
亚麻	ya4 ma2	(pla-sci) lino; (latine, Linum usitatissimum)
亚太经合	ya4 tai4  jing1 he2	(m-l) Azi-Pacifika Ekonomia Kunlaboro; (APEK)
亚太经合组织	ya4 tai4  jing1 he2  zu3 zhi1	(m-l) Azi-Pacifika Ekonomia Kunlaboro; (APEK)
亚洲太平洋经济合作组织	ya4 zhou1  tai4 ping2 yang2  jing1 ji4  he2 zuo4  zu3 zhi1	Azi-Pacifika Ekonomia Kunlaboro; (APEK)
烟	yan1	fumo
咽	yan1	(anat) faringo
烟	yan1	cigaredo
烟草	yan1 cao3	(pla-sci) tabako; nikotiano; (latine, Nicotiana tabacum)
烟囱	yan1 cong1	kamentubo
咽喉	yan1 hou2	(anat) faringo
烟火	yan1 huo3	fajraĵo
严	yan2	severa; severe
严格	yan2 ge2	severa
严禁	yan2 jin4	ne estas permesita
颜料	yan2 liao4	farbo
颜色	yan2 se4	koloro
岩石	yan2 shi2	ŝtonego; roko
严肃	yan2 su4	serioza
言语	yan2 yu3	vortoj; parolo
严重	yan2 zhong4	grava
眼	yan3	(anat) okulo
鼹	yan3	talpo (mambesto)
演唱会	yan3 chang4 hui4	koncerto
演讲	yan3 jiang3	parolado
眼角膜	yan3 jiao3 mo2	(anat) kornea
眼睫毛	yan3 jie2 mao2	(anat) okulharo
眼睛	yan3 jing1	(anat) okulo
眼镜蛇	yan3 jing1 she2	kobro (reptilio)
眼镜	yan3 jing4	okulvitroj
眼泪	yan3 lei4	(anat) larmo
眼皮	yan3 pi2	(anat) palpebro
眼球	yan3 qiu2	(anat) okulglobo
鼹鼠	yan3 shu3	talpo (mambesto)
眼窝	yan3 wo1	(anat) okulkavo; orbito
演员	yan3 yuan2	aktoro
宴	yan4	festeno
燕	yan4	hirundo (birdo)
宴会	yan4 hui4	festeno
燕麦	yan4 mai4	aveno
燕子	yan4 zi5	hirundo (birdo)
杨	yang2	(pla-sci) tremolo; tremolarbo (latine, Populus tremula)
羊	yang2	ŝafo (mambesto)
羊齿	yang2 chi3	(pla-sci) filikoplanto
洋槐树	yang2 huai2 shu4	(pla-sci) robinio; falŝa akacio; falŝa akaciarbo (latine, Robinia pseudoacacia)
杨柳	yang2 liu3	(pla-sci) saliko; salikarbo (latine, Salix)
杨柳树	yang2 liu3 shu4	(pla-sci) saliko; salikarbo (latine, Salix)
羊毛	yang2 mao2	lano
羊肉	yang2 rou4	ŝafaĵo
杨树	yang2 shu4	(pla-sci) tremolo; tremolarbo (latine, Populus tremula)
羊水	yang2 shui3	(anat) amnia fluido; amnia likvaĵo
阳台	yang2 tai2	balkono
阳性	yang2 xing4	vira; vira genro (gramatiko)
阳性名词	yang2 xing4  ming2 ci2	vira substantivo (gramatiko)
阳性词	yang2 xing4 ci2	vira vorto (gramatiko)
洋绣球花	yang2 xiu4 qiu2	(pla-sci) hortensio; hortensifloro (latine, Hydrangea macrophylla)
氧	yang3	(kem) oksigeno; la elemento oksigeno (O), atomnumero 8
养老金	yang3 lao3 jin1	pensio
腰	yao1	(anat) talio
腰部	yao1 bu4	(anat) talio
邀请	yao1 qing3	inviti
要求	yao1 qiu2	postuli; postulo
谣	yao2	kanto
遥控器	yao2 kong4 qi4	teleregilo
摇篮	yao2 lan2	lulilo
摇篮曲	yao2 lan2 qu3	lulkanto
谣言	yao2 yan2	onidiro
要	yao4	bezoni
要	yao4	voli
药房	yao4 fang2	farmacio
要命	yao4 ming4	ege; terure
要是	yao4 shi4	ŝlosilo
椰	ye1	(pla-sci) kokosarbo; (latine, Cocos nucifera)
椰子树	ye1 zi5 shu4	(pla-sci) kokosarbo; (latine, Cocos nucifera)
也	ye3	ankaŭ
也不	ye3 bu4	nek
也不一定	ye3 bu4 yi2 ding4	ne nepre; eble
野餐	ye3 can1	pikniko
野葛	ye3 ge2	(pla-sci) venena sumako; (latine, Toxicodendron radicans)
野胡萝葡	ye3 hu2 luo2 bo5	(pla-sci) sovaĝa karoto; (latine, Daucus carota)
野蛮	ye3 man2	sovaĝa
也许	ye3 xu3	eble
野猪	ye3 zhu1	apro (mambesto)
页	ye4	paĝo
腋	ye4	(anat) subbrako; akselo
夜	ye4	nokto
叶	ye4	folio
液化	ye4 hua4	(fiz) likvigi
叶绿素	ye4 lv4 su4	klorofilo
叶绿体	ye4 lv4 ti3	kloroplasto
液体	ye4 ti3	(fiz) likvaĵo; likvo
夜晚	ye4 wan3	nokto
腋窝	ye4 wo1	(anat) subbrako; akselo
夜莺	ye4 ying1	najtingalo (birdo)
叶子	ye4 zi5	folio
医	yi1	resanigi
铱	yi1	(kem) iridio; la elemento iridio (Ir), atomnumero 77
依	yi1	ankoraŭ; same kiel antaŭe
一	yi1	unu (1)
一	yi1	lundo
一分钟	yi1  fen1 zhong1	unu minuto
